screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
seattletimes,2020-05-19T20:39:39Z,"The world cut its daily carbon dioxide emissions by 17% at the peak of the pandemic shutdown last month, a new study found. But the brief pollution break will likely be “a drop in the ocean"" when it comes to climate change, scientists said. https://t.co/n4DFBbzg7t",9,29,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262845394519760898
seattletimes,2020-05-19T20:22:01Z,"Sadie Davis-Suskind, a former ""MasterChef Junior"" contestant and Seattle-native, shares her recipes for French Potato Salad and Peach Caprese Salad, perfect additions for Memorial Day meals. https://t.co/z3T3Nxo2Vc",1,10,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262840959810887680
seattletimes,2020-05-19T20:05:35Z,"Annie Glenn, the widow of astronaut and U.S. Sen. John Glenn and a communication disorders advocate, died Tuesday of complications from COVID-19. She was 100. https://t.co/ooxe5napZK",4,12,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262836822633144320
seattletimes,2020-05-19T19:46:11Z,How do those eight weeks worth of hair growth feel on your head? This U District barbershop fervently hopes Phase 2 of Washington state's grand reopening plan comes sooner rather than later. (via @seattlesketcher)  https://t.co/605OQALw5Z,2,1,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262831940706721792
seattletimes,2020-05-19T19:22:06Z,"Travel on major highways and freeways has declined during the coronavirus pandemic, while traffic on Seattle neighborhood streets has increased, according to data provided by the company Mapbox. https://t.co/n5VVPHICzb",1,5,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262825879761281027
seattletimes,2020-05-19T18:59:21Z,A company in Baltimore has created “bumper tables” designed to allow people to practice social distancing while eating and talking in outdoor settings amid the coronavirus pandemic. https://t.co/z6Z96uYqv6,19,53,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262820155022770176
seattletimes,2020-05-19T18:39:34Z,"An employee at the Washington Veterans Home in Port Orchard has been diagnosed with COVID-19, according to the state Department of Veterans Affairs.

Follow our live coronavirus updates: https://t.co/cLXcWJ0ENZ",8,11,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262815174333026311
seattletimes,2020-05-19T18:39:33Z,"BREAKING: Gov. Jay Inslee announced additional criteria to allow more Washington counties to reopen more quickly under his four-part coronavirus recovery plan. (via @OlympiaJoe)
https://t.co/DK87hBfDgR",16,23,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262815171283767297
seattletimes,2020-05-19T18:23:50Z,"New Seahawks cornerback Quinton Dunbar formally plead not guilty to four counts of armed robbery Tuesday, according to his attorney. https://t.co/8Ub4nYgKFu",1,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262811218005364738
seattletimes,2020-05-19T18:20:09Z,Calling all high school seniors and their families! Are you doing anything special to take the place of canceled proms? Tell us how you're feeling and what you'll be doing instead. https://t.co/uSzdnVdURZ,4,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262810290296631303
seattletimes,2020-05-19T17:56:29Z,Canada and the US have agreed to extend their agreement to keep border closed to non essential travel to June 21 during the coronavirus pandemic.  https://t.co/yAc3JFvNy6,15,24,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262804332031942656
seattletimes,2020-05-19T17:19:14Z,The school calendar has a summer break. But why? And is that really what’s best for students? Coronavirus closures have officials rethinking what the school year should look like. These are some of the possibilities. https://t.co/5M02FIvZk4,15,49,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262794957649313795
seattletimes,2020-05-19T16:48:01Z,"The Washington state attorney general has filed consumer protection lawsuits against two gyms, one in Puyallup and one in Arlington, that have remained open despite the state’s stay-home directive. https://t.co/bKAVWt9Z0V",31,155,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262787101340372992
seattletimes,2020-05-19T16:17:27Z,A Kelso City Council member has proposed a measure declaring that the stay-home order is unclear and causes too much economic harm. A debate and vote are set for Tuesday. https://t.co/RvdW5i2ecF,5,11,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262779408735223812
seattletimes,2020-05-19T14:58:44Z,"Workers are seeking, among several things, more assurances that officials are following social distancing and cleaning procedures, and hazard pay. Apple shipments overall are running at about their usual pace, an industry spokesman said. https://t.co/LWxPCTfgrp",4,9,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262759599104421891
seattletimes,2020-05-19T13:45:40Z,Treasury Secretary Steven Mnuchin will likely come under tough questioning from senators about a small business lending program included in the government’s $2 trillion relief package. https://t.co/Sy3ggHkXUp,3,7,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262741215063076869
seattletimes,2020-05-19T13:28:54Z,"Moderna’s technology, involving genetic material from the virus called mRNA, is relatively new. A test in eight healthy volunteers found its experimental coronavirus vaccine provoked a strong immune response.  https://t.co/HOJg4pICgg",6,7,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262736992296505344
seattletimes,2020-05-19T07:40:48Z,Small businesses hoping for more leeway in using coronavirus loan money were disappointed as the government released instructions for seeking forgiveness for the loans.  https://t.co/YUB94fMhBK,5,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262649393557188609
seattletimes,2020-05-19T07:11:15Z,"Looking toward the future for the class of 2020, Cleveland High School staffers handed out graduation caps and gowns to students and their families Monday in Seattle. https://t.co/3JokKND6ee",3,12,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262641955311366154
